Sl.no,Crop,Minimum Practical Area (acre),Total Water ( mm ),Total Water (Liters/ha),Total Water (USGallons/ha),Crop Duration (days),Daily Water (L/ha/day),Soil Type,Soil Moisture,Min Temp,Max temp,Pesticides ,fertilizers ,Min Humidity ,Max Humidity,Yield(Kg),Prize(Summer)
22,Kohlrabi,1,765,3091000,816000,90,34344,Loamy,Medium,15,25,"Organic Manures: FYM, compost, vermicompost (improves soil fertility and bulb quality).

Nitrogen (N): Urea, Ammonium Sulphate (high N requirement for leafy and swollen stem growth).

Phosphorus (P): SSP, DAP (for root and stem development).

Potassium (K): MOP (Muriate of Potash) � enhances bulb quality and stress tolerance.

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate.","Aphids: Imidacloprid, Thiamethoxam, Acephate.

Cabbage Worms / Loopers: Spinosad, Chlorantraniliprole, Lambda-cyhalothrin.

Diamondback Moth: Bacillus thuringiensis (Bt), Spinosad.

Flea Beetles: Carbaryl, Lambda-cyhalothrin.",60,90,7000,45
23,Cabbage,1,810,3283500,866900,90,36483,Loamy,Medium,15,25,"Organic Manures: FYM, compost, vermicompost (improves soil fertility and head quality).

Nitrogen (N): Urea, Ammonium Sulphate (promotes leafy head formation).

Phosphorus (P): SSP, DAP (for root development).

Potassium (K): MOP (Muriate of Potash) � enhances head size and firmness.

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate, Calcium Nitrate.","Aphids: Imidacloprid, Thiamethoxam, Acephate.

Cabbage Worms / Loopers: Spinosad, Chlorantraniliprole, Lambda-cyhalothrin.

Diamondback Moth: Bacillus thuringiensis (Bt), Spinosad.

Flea Beetles: Carbaryl, Lambda-cyhalothrin.",60,90,17500,35
24,Cauliflower,1,810,3283500,866900,90,36483,Loamy,Medium,15,25,"Organic Manures: FYM, compost, vermicompost (improves soil fertility and curd quality).

Nitrogen (N): Urea, Ammonium Sulphate (promotes vegetative growth and curd formation).

Phosphorus (P): SSP, DAP (for root and curd development).

Potassium (K): MOP (Muriate of Potash) � enhances head size, color, and firmness.

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate, Calcium Nitrate","Aphids: Imidacloprid, Thiamethoxam, Acephate.

Cabbage Worms / Loopers: Spinosad, Chlorantraniliprole, Lambda-cyhalothrin.

Diamondback Moth: Bacillus thuringiensis (Bt), Spinosad.

Flea Beetles: Carbaryl, Lambda-cyhalothrin.",60,90,13500,45
25,Radish (Muli),1,600,2430000,641900,90,27000,Loamy,Medium,10,20,"Organic Manures: FYM, compost, vermicompost (improves soil fertility and root quality).

Nitrogen (N): Urea, Ammonium Sulphate (for leafy and root growth).

Phosphorus (P): SSP, DAP (for root development).

Potassium (K): MOP (Muriate of Potash) � enhances root size, color, and taste.

Micronutrients: Boron, Zinc Sulphate, Magnesium Sulphate","Aphids: Imidacloprid, Thiamethoxam, Acephate.

Root Maggots / Flea Beetles: Carbaryl, Lambda-cyhalothrin.

Cabbage Worms / Leaf Miners: Spinosad, Bacillus thuringiensis (Bt).",60,90,7000,25
26,Pea,1,350,1417500,374600,100,14175,Well-drained,Medium,10,25,"Organic Manures: FYM, compost, vermicompost (improves soil fertility).

Nitrogen (N): Minimal, as peas are legumes and fix nitrogen; small starter dose of Urea may be applied.

Phosphorus (P): SSP, DAP (for root and pod development).

Potassium (K): MOP (Muriate of Potash) � enhances pod formation and quality.

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate","Aphids: Imidacloprid, Thiamethoxam, Acephate.

Pod Borer / Caterpillars: Spinosad, Chlorantraniliprole, Lambda-cyhalothrin.

Leaf Miner / Thrips: Acetamiprid, Imidacloprid.",55,85,7000,90
27,Sweet potato ,1,750,3037500,802000,150,20250,Loamy,Medium,21,26,"Organic Manures: FYM, compost, vermicompost (improves soil structure and tuber quality).

Nitrogen (N): Urea, Ammonium Sulphate (moderate dose; excess N promotes foliage over tubers).

Phosphorus (P): SSP, DAP (for root and tuber development).

Potassium (K): MOP, Potassium Sulphate (high K for better tuber size and sweetness).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate","Sweet Potato Weevil / Wireworms: Carbofuran, Thiamethoxam, Imidacloprid.

Aphids / Whiteflies: Imidacloprid, Thiamethoxam.

Leaf Miner / Caterpillars: Spinosad, Chlorantraniliprole",60,90,13500,35
28,Chilli,1,600,2430000,642000,150,16200,Well-drained,Medium,20,30,"Organic Manures: FYM, compost, vermicompost (improves soil fertility and fruit quality).

Nitrogen (N): Urea, Ammonium Sulphate (split doses; promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root development and early flowering).

Potassium (K): MOP, Potassium Sulphate (enhances fruit size, color, and pungency).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate, Calcium Nitrate","Aphids / Whiteflies: Imidacloprid, Thiamethoxam, Acephate.

Thrips: Spinosad, Fipronil.

Fruit Borer / Caterpillars: Chlorantraniliprole, Spinosad, Emamectin benzoate.

Red Spider Mite: Abamectin, Fenpyroximate",60,85,3000,275
29,Litchi,1,1200,4860000,1283000,365,13315,Well-drained,Medium,20,35,"Organic Manures: FYM, compost, neem cake (improves soil fertility and tree health).

Nitrogen (N): Urea, Ammonium Sulphate (applied in splits; promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root development and flowering).

Potassium (K): MOP, Potassium Sulphate (enhances flowering, fruit set, and quality).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate, Iron chelates.","Fruit Fly: Malathion, Thiamethoxam (for fruit protection).

Aphids / Leaf Miners / Thrips: Imidacloprid, Acephate, Spinosad.

Mealy Bugs / Mites: Abamectin, Fenpyroximate.

Shoot Borer: Chlorantraniliprole, Lambda-cyhalothrin.",65,90,3000,90
30,Onion,1,600,2430000,641900,90,27000,Loamy,Medium,15,25,"Organic Manures: FYM, compost, vermicompost (improves soil fertility and bulb quality).

Nitrogen (N): Urea, Ammonium Sulphate (split doses; promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root and bulb development).

Potassium (K): MOP, Potassium Sulphate (enhances bulb size, color, and storage).","Onion Thrips: Imidacloprid, Thiamethoxam, Spinosad.

Stem / Bulb Maggots: Carbofuran, Thiamethoxam.

Cutworms / Caterpillars: Chlorantraniliprole, Lambda-cyhalothrin.",60,90,13500,35
31,Guava,1,1000,4050000,1070000,365,11095,Well-drained,Medium,23,28,"Organic Manures: FYM, compost, neem cake (improves soil fertility and tree health).

Nitrogen (N): Urea, Ammonium Sulphate (applied in splits; promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root development and flowering).

Potassium (K): MOP, Potassium Sulphate (enhances flowering, fruit set, size, and quality).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate, Iron chelates.","Fruit Fly: Malathion, Thiamethoxam (for fruit protection).

Aphids / Thrips: Imidacloprid, Acephate, Spinosad.

Guava Whitefly: Imidacloprid, Thiamethoxam.

Shoot / Fruit Borers: Chlorantraniliprole, Lambda-cyhalothrin.",60,85,5000,45
32,Papaya,1,370,1492000,393800,90,16578,Loamy,Medium,25,30,"Organic Manures: FYM, compost, vermicompost (improves soil fertility and fruit quality).

Nitrogen (N): Urea, Ammonium Sulphate (split doses; promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root development and flowering).

Potassium (K): MOP, Potassium Sulphate (enhances flowering, fruit set, size, and sweetness).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate, Iron chelates","Papaya Fruit Fly: Malathion, Thiamethoxam (for fruit protection).

Aphids / Whiteflies / Thrips: Imidacloprid, Acephate, Spinosad.

Papaya Mealy Bug: Abamectin, Fenpyroximate.

Leaf Miner / Caterpillars: Bacillus thuringiensis (Bt), Spinosad.",65,90,22500,30
33,Jackfruit,1,1200,4860000,1283000,365,13315,Loamy,Medium,22,32,"Organic Manures: FYM, compost, neem cake (improves soil fertility and tree health).

Nitrogen (N): Urea, Ammonium Sulphate (applied in splits; promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root development and flowering).

Potassium (K): MOP, Potassium Sulphate (enhances flowering, fruit set, size, and sweetness).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate, Iron chelates.","Fruit Borer / Stem Borer: Chlorantraniliprole, Lambda-cyhalothrin.

Aphids / Mealy Bugs / Thrips: Imidacloprid, Acephate, Spinosad.

Fruit Fly: Malathion, Thiamethoxam (protect fruits).",65,90,6000,25
34,Iskus,1,900,3645000,963000,210,17357,Well-drained,Medium,18,26,"Organic Manures: FYM, compost, neem cake (improves soil fertility and tree health).

Nitrogen (N): Urea, Ammonium Sulphate (split doses; promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root development and flowering).

Potassium (K): MOP, Potassium Sulphate (enhances flowering, fruit set, size, and sweetness).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate, Iron chelates","Aphids / Leaf Miners / Thrips: Imidacloprid, Acephate, Spinosad.

Fruit Fly: Malathion, Thiamethoxam (protect fruits).

Mealy Bugs / Mites: Abamectin, Fenpyroximate.

Citrus Shoot Borer / Caterpillars: Chlorantraniliprole, Lambda-cyhalothrin.",60,85,5500,30
35,Banana,1,493,1998000,528300,90,22200,alluvial,High,26,30,"Organic Manures: FYM, compost, vermicompost (improves soil structure and fruit quality).

Nitrogen (N): Urea, Ammonium Sulphate (split doses; promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root development and early bunch formation).

Potassium (K): MOP, Potassium Sulphate (high K for fruit size, sweetness, and quality).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate, Iron chelates","Banana Aphids / Thrips: Imidacloprid, Thiamethoxam.

Nematodes: Carbofuran, Neem cake application (soil treatment).

Weevil / Caterpillars: Chlorantraniliprole, Lambda-cyhalothrin.

Mites: Abamectin, Fenpyroximate.",70,95,22500,35
36,Coriander,1,600,2430000,641900,90,27000,Sandy,Medium,20,25,"Organic Manures: FYM, compost, vermicompost (improves soil fertility and aroma).

Nitrogen (N): Urea, Ammonium Sulphate (split doses; promotes leafy growth).

Phosphorus (P): SSP, DAP (for root development).

Potassium (K): MOP, Potassium Sulphate (improves aroma, quality, and yield).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate.","Aphids / Leaf Miner: Imidacloprid, Thiamethoxam, Acephate.

Cutworms / Caterpillars: Chlorantraniliprole, Lambda-cyhalothrin.

Armyworm / Mites: Abamectin, Fenpyroximate",55,80,1750,90
37,Pumpkin,1,600,2430000,641900,120,20250,Well-drained,Medium,20,30,"Organic Manures: FYM, compost, vermicompost (improves soil fertility and fruit quality).

Nitrogen (N): Urea, Ammonium Sulphate (split doses; promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root and flowering development).

Potassium (K): MOP, Potassium Sulphate (enhances fruit size, color, and sweetness).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate","Aphids / Whiteflies: Imidacloprid, Thiamethoxam.

Cucumber Beetle / Pumpkin Beetle: Chlorantraniliprole, Lambda-cyhalothrin.

Fruit Fly: Malathion, Thiamethoxam (protect fruits).

Leaf Miner / Caterpillars: Spinosad, Bacillus thuringiensis (Bt).",60,85,13500,25
38,Brinjal,1,700,2835000,749000,150,18900,Well-drained,Medium,22,30,"Fertilizers (Nutrients for Growth)

Organic Manures: FYM, compost, vermicompost (improves soil fertility and fruit quality).

Nitrogen (N): Urea, Ammonium Sulphate (split doses; promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root development and flowering).

Potassium (K): MOP, Potassium Sulphate (enhances fruit size, color, and quality).

Micronutrients: Zinc Sulphate, Boron, Magnesium Sulphate, Calcium","Aphids / Whiteflies / Thrips: Imidacloprid, Thiamethoxam, Acephate.

Fruit and Shoot Borer: Chlorantraniliprole, Lambda-cyhalothrin, Bacillus thuringiensis (Bt).

Spider Mites: Abamectin, Fenpyroximate.

Leaf Miners / Caterpillars: Spinosad, Bt.",60,85,17500,45
39,Carrot,1,500,2025000,534800,120,16875,Loamy,Medium,16,24,"Organic Manures: FYM, compost, vermicompost (improves soil structure and root quality).

Nitrogen (N): Urea, Ammonium Sulphate (split doses; promotes root and leafy growth).

Phosphorus (P): SSP, DAP (for strong root development).

Potassium (K): MOP, Potassium Sulphate (enhances root size, color, and sugar content).","Aphids / Leaf Miner: Imidacloprid, Thiamethoxam, Acephate.

Carrot Root Fly / Cutworm: Chlorantraniliprole, Lambda-cyhalothrin.

Caterpillars / Armyworms: Bacillus thuringiensis (Bt), Spinosad.",60,85,11000,45
40,Anthurium,1,1200,4860000,1283000,365,13315,Well-drained,High,20,28,"Organic Manures: Cocopeat compost, vermicompost, well-decomposed FYM (improves soil structure and flowering).

Nitrogen (N): Urea, Ammonium Sulphate (promotes vegetative growth).

Phosphorus (P): SSP, DAP (for root development and flowering).

Potassium (K): MOP, Potassium Sulphate (enhances flower size, color, and longevity).

Micronutrients: Magnesium Sulphate, Iron chelates, Boron, Zinc Sulphate.","Aphids / Mealy Bugs / Thrips: Imidacloprid, Acephate, Spinosad.

Spider Mites: Abamectin, Fenpyroximate.

Whiteflies: Imidacloprid, Thiamethoxam.",70,90,110000,60
41,Cymbidium,1,1000,4050000,1070000,365,11095,Well-drained,High,15,25,"Organic Manures: Well-decomposed compost, leaf mold, cocopeat (improves soil aeration and moisture retention).

Nitrogen (N): Urea, Ammonium Sulphate (promotes vegetative growth).

Phosphorus (P): SSP, DAP (supports root development and flowering).

Potassium (K): MOP, Potassium Sulphate (enhances flower size, color, and longevity).

Micronutrients: Magnesium Sulphate, Iron chelates, Boron, Zinc Sulphate","Aphids / Mealy Bugs / Thrips: Imidacloprid, Acephate, Spinosad.

Spider Mites: Abamectin, Fenpyroximate.

Scale Insects / Whiteflies: Imidacloprid, Thiamethoxam.",70,90,27500,125
42,Rose,1,900,3645000,963000,365,9986,Well-drained,High,18,28,"Organic Manures: Well-decomposed FYM, compost, vermicompost (improves soil structure and flower quality).

Nitrogen (N): Urea, Ammonium Sulphate (promotes vegetative growth and lush leaves).

Phosphorus (P): SSP, DAP (supports root development and flowering).

Potassium (K): MOP, Potassium Sulphate (enhances flower size, color, and vase life).

Micronutrients: Magnesium Sulphate, Boron, Zinc Sulphate, Iron chelates","Aphids / Thrips / Whiteflies: Imidacloprid, Acephate, Spinosad.

Spider Mites: Abamectin, Fenpyroximate.

Mealy Bugs / Scale Insects: Imidacloprid, Thiamethoxam",60,85,90000,25
43,Pasinon fruit,1,1100,4455000,1176000,365,12205,Well-drained,High,20,30,"Organic Manures: Well-decomposed FYM, compost, leaf mold (improves soil fertility and tree health).

Nitrogen (N): Urea or Ammonium Sulphate (promotes vegetative growth).

Phosphorus (P): SSP, DAP (supports root development and flowering).

Potassium (K): MOP, Potassium Sulphate (enhances fruit size, sweetness, and quality).

Micronutrients: Boron, Zinc Sulphate, Magnesium Sulphate (important for fruiting and leaf health).","Aphids / Thrips / Leaf Miners: Imidacloprid, Thiamethoxam.

Fruit Flies / Caterpillars: Malathion, Bacillus thuringiensis (Bt).

Mealy Bugs / Mites: Abamectin, Fenpyroximate.",65,90,2500,80
